booking_id,carrier_code,vehicle,vehicle_capacity,total_amount,total_package,total_weight (tons),total_cbm,total_load_proportion_rate,transport_utilization_rate,num_of_pickup_point,pickup_points,last_pickup_point,num_of_destination_point,store_code,total_loading_time (days),pickup_time (days),delivery_time (days),delivery_month
19-TP-BB-04102024-183143,D,51D-343.96,2.2,120446583,230,2.415063,8.257914,100,100,1,B,B,1,E,0.02083333334,0.01527777778,0.9090277778,Nov-2024
02-TP-AA-04102024-183197,E,51C-919.76,5,156729882,490,5.047644,9.036804,100,100,1,C,C,1,E,0.04930555556,0.01319444444,0.6777777778,Nov-2024
TTPP-AA-03112024-189949,A,51C-053.22,1.4,95346097,200,1.329573,3.510045,100,100,1,B,B,1,F,0.008333333331,0.02847222222,0.1326388889,Nov-2024
02-TP-AA-04112024-190074,E,51D-340.46,2,12203222,190,0.83475,2.1078225,100,100,1,C,C,1,E,0.02361111111,0.00208333334,0.7381944444,Nov-2024
60-TP-AA-04062024-153830,C,50LD-194.99,9,353291135,670,6.823257,17.6520855,100,83,2,AB,B,1,F,0.03541666667,0.06597222222,0.8590277778,Jun-2024
26-TI-AA-04062024-153810,B,51D-614.65,16,625690834,980,10.6636005,35.8381065,100,100,2,AB,B,1,D,0.25,0.05972222223,1.823611111,Jun-2024
60-TP-AA-04072024-161790,C,51D-174.22,9,329102810,640,6.2261955,18.045762,100,100,2,CB,B,1,F,0.02569444445,0.03819444445,1.061805556,Jun-2024
TTPP-AA-05072024-161922,A,51C-062.61,1.6,44024465,100,1.4809725,2.1670215,100,100,1,C,C,1,F,0.006944444445,0.0006944444394,0.8847222222,Jul-2024
TTPP-BB-05072024-161971,A,51C-053.22,1.4,18086143,60,0.4478775,1.287237,35,100,1,B,B,1,F,0.02708333333,0.004861111112,0.7465277778,Jul-2024
26-TI-AA-04072024-161774,B,51D-626.81,16,256224660,470,3.4854855,17.2360965,50,100,1,A,A,1,D,0.02083333334,0.04027777778,1.800694444,Jul-2024
19-TP-BB-04072024-161657,D,51D-343.96,2.2,111943584,160,1.394316,5.264259,100,100,1,B,B,1,E,0.01319444444,0.01180555556,0.8291666667,Jul-2024
